INCIDENT_TYPE,Street,MONTH,YEAR,FILE_NUMBER,Latitude,Longitude
Break and Enter - Business,13200 OLD YALE RD,Jan,2019,19-9561,49.187326,-122.855737
Break and Enter - Business,12200 KING GEORGE BLVD,Jan,2019,19-10327,49.205847999999996,-122.884945
Break and Enter - Business,12200 104TH AVE,Jan,2019,19-10365,49.192732,-122.885403
Break and Enter - Business,12500 KING GEORGE BLVD,Jan,2019,19-10812,49.205002,-122.87823799999998
Break and Enter - Business,13400 102ND AVE,Jan,2019,19-11417,49.188708,-122.851262
Break and Enter - Business,10500 KING GEORGE BLVD,Jan,2019,19-11456,49.193277,-122.845001
Break and Enter - Business,13400 104TH AVE,Jan,2019,19-11637,49.191487,-122.851221
Break and Enter - Business,10400 132ND ST,Jan,2019,19-12011,49.192399,-122.85616399999999
Break and Enter - Business,9200 121ST ST,Jan,2019,19-12366,49.170884,-122.88720500000001
Break and Enter - Business,9600 137A ST,Jan,2019,19-13829,49.177732,-122.841797
Break and Enter - Business,9600 137A ST,Jan,2019,19-13898,49.177732,-122.841797
Break and Enter - Business,13400 KING GEORGE BLVD,Jan,2019,19-14533,49.202756,-122.851677
Break and Enter - Business,13300 OLD YALE RD,Jan,2019,19-14917,49.186603999999996,-122.853707
Break and Enter - Business,10500 135A ST,Jan,2019,19-15611,49.193446,-122.846635
Break and Enter - Residence,8800 128TH ST,Jan,2019,19-3159,49.162293,-122.867778
Break and Enter - Residence,10100 129TH ST,Jan,2019,19-4106,49.186108000000004,-122.86439299999999
Break and Enter - Residence,13400 96TH AVE,Jan,2019,19-4970,49.176901,-122.851676
Break and Enter - Residence,11500 RIVER RD,Jan,2019,19-5781,49.183332,-122.90408300000001
Break and Enter - Residence,13200 OLD YALE RD,Jan,2019,19-5938,49.187326,-122.855737
Break and Enter - Residence,9700 132ND ST,Jan,2019,19-6484,49.178768,-122.85651899999999
Break and Enter - Residence,9500 132A ST,Jan,2019,19-6950,49.175262,-122.85526599999999
Break and Enter - Residence,12600 91ST AVE,Jan,2019,19-7288,49.168946000000005,-122.87336499999999
Break and Enter - Residence,13800 LAUREL DR,Jan,2019,19-9162,49.177807,-122.83566699999999
Break and Enter - Residence,104TH AVE / SCOTT RD,Jan,2019,19-10974,49.193585999999996,-122.88803300000001
Break and Enter - Residence,13400 KING GEORGE BLVD,Jan,2019,19-12585,49.202756,-122.851677
Break and Enter - Residence,12200 98A AVE,Jan,2019,19-12891,49.191303000000005,-122.849144
Break and Enter - Residence,11700 96A AVE,Jan,2019,19-13512,49.191303000000005,-122.849144
Break and Enter - Residence,12700 90TH AVE,Jan,2019,19-13781,49.167282,-122.87106399999999
Break and Enter - Residence,13600 105TH AVE,Jan,2019,19-14082,49.194345,-122.84648500000002
Break and Enter - Residence,9600 137A ST,Jan,2019,19-14086,49.177732,-122.841797
Break and Enter - Residence,14600 90TH AVE,Jan,2019,19-14172,49.166333,-122.817603
Break and Enter - Residence,13100 103RD AVE,Jan,2019,19-15792,49.190557,-122.859373
Break and Enter - Business,10300 152ND ST,Jan,2019,19-123,49.189479999999996,-122.799246
Break and Enter - Business,16400 FRASER HWY,Jan,2019,19-267,49.191303000000005,-122.849144
Break and Enter - Business,15600 104TH AVE,Jan,2019,19-746,49.192337,-122.790022
Break and Enter - Business,7700 168TH ST,Jan,2019,19-1114,49.142238,-122.756316
Break and Enter - Business,10000 148TH ST,Jan,2019,19-1157,49.191303000000005,-122.849144
Break and Enter - Business,15300 94TH AVE,Jan,2019,19-2027,49.173339,-122.798286
Break and Enter - Business,10100 152A ST,Jan,2019,19-5124,49.185755,-122.800582
Break and Enter - Business,10100 152A ST,Jan,2019,19-5160,49.185755,-122.800582
Break and Enter - Business,10300 152ND ST,Jan,2019,19-6217,49.189479999999996,-122.799246
Break and Enter - Business,14900 101A AVE,Jan,2019,19-6529,49.191303000000005,-122.849144
Break and Enter - Business,9300 160TH ST,Jan,2019,19-8292,49.171872,-122.778581
Break and Enter - Business,15400 104TH AVE,Jan,2019,19-8305,49.191327,-122.795775
Break and Enter - Business,10000 152ND ST,Jan,2019,19-9372,49.191303000000005,-122.849144
Break and Enter - Business,10200 153RD ST,Jan,2019,19-10795,49.187596,-122.79788300000001
Break and Enter - Business,15300 104TH AVE,Jan,2019,19-10815,49.191322,-122.79766200000002
Break and Enter - Business,15300 104TH AVE,Jan,2019,19-10824,49.191322,-122.79766200000002
Break and Enter - Business,15300 104TH AVE,Jan,2019,19-10825,49.191322,-122.79766200000002
Break and Enter - Business,15300 101ST AVE,Jan,2019,19-11413,49.186867,-122.79784
Break and Enter - Business,9100 FLEETWOOD WAY,Jan,2019,19-12519,49.167546,-122.79803799999999
Break and Enter - Business,14700 104TH AVE,Jan,2019,19-13114,49.191274,-122.81455600000001
Break and Enter - Business,9600 148TH ST,Jan,2019,19-13608,49.177176,-122.81175400000001
Break and Enter - Business,15300 GUILDFORD DR,Jan,2019,19-15043,49.195792,-122.79694599999999
Break and Enter - Business,15100 FRASER HWY,Jan,2019,19-15094,49.191303000000005,-122.849144
Break and Enter - Residence,14900 101A AVE,Jan,2019,19-883,49.191303000000005,-122.849144
Break and Enter - Residence,10000 150TH ST,Jan,2019,19-1656,49.191303000000005,-122.849144
Break and Enter - Residence,10000 153RD ST,Jan,2019,19-1989,49.191303000000005,-122.849144
Break and Enter - Residence,14000 115A AVE,Jan,2019,19-2517,49.191303000000005,-122.849144
Break and Enter - Residence,15400 86TH AVE,Jan,2019,19-2712,49.159029,-122.79608
Break and Enter - Residence,10000 161ST ST,Jan,2019,19-3096,49.191303000000005,-122.849144
Break and Enter - Residence,14000 104TH AVE,Jan,2019,19-3395,49.191308,-122.833731
Break and Enter - Residence,16100 110A AVE,Jan,2019,19-5622,49.191303000000005,-122.849144
Break and Enter - Residence,16200 79A AVE,Jan,2019,19-5700,49.191303000000005,-122.849144
Break and Enter - Residence,15600 96TH AVE,Jan,2019,19-7126,49.178083,-122.79020700000001
Break and Enter - Residence,10700 168TH ST,Jan,2019,19-7467,49.19722,-122.75626100000001
Break and Enter - Residence,15000 85A AVE,Jan,2019,19-8244,49.191303000000005,-122.849144
Break and Enter - Residence,10300 158A ST,Jan,2019,19-9914,49.189479,-122.782693
Break and Enter - Residence,10700 146TH ST,Jan,2019,19-9922,49.197309999999995,-122.817274
Break and Enter - Residence,15700 104TH AVE,Jan,2019,19-10486,49.191390000000006,-122.78644399999999
Break and Enter - Residence,15300 105TH AVE,Jan,2019,19-12511,49.193139,-122.79771799999999
Break and Enter - Residence,10000 144TH ST,Jan,2019,19-13415,49.191303000000005,-122.849144
Break and Enter - Residence,14900 101A AVE,Jan,2019,19-13821,49.191303000000005,-122.849144
Break and Enter - Residence,15400 101A AVE,Jan,2019,19-15469,49.191303000000005,-122.849144
Break and Enter - Business,12300 88TH AVE,Jan,2019,19-1117,49.162955,-122.88333700000001
Break and Enter - Business,6300 121ST ST,Jan,2019,19-1628,49.118196999999995,-122.88713600000001
Break and Enter - Business,7100 128TH ST,Jan,2019,19-4073,49.132048,-122.867581
Break and Enter - Business,12000 64TH AVE,Jan,2019,19-4196,49.11954,-122.88876599999999
Break and Enter - Business,7100 128TH ST,Jan,2019,19-4568,49.132048,-122.867581
Break and Enter - Business,12800 85TH AVE,Jan,2019,19-4608,49.157309999999995,-122.86679699999999
Break and Enter - Business,12900 80TH AVE,Jan,2019,19-4659,49.147995,-122.86604799999999
Break and Enter - Business,12300 88TH AVE,Jan,2019,19-5262,49.162955,-122.88333700000001
Break and Enter - Business,12500 82ND AVE,Jan,2019,19-5812,49.151816,-122.876053
Break and Enter - Business,7400 KING GEORGE BLVD,Jan,2019,19-6877,49.137628,-122.84526399999999
Break and Enter - Business,13100 88TH AVE,Jan,2019,19-7028,49.162363,-122.859249
Break and Enter - Business,12700 80TH AVE,Jan,2019,19-8318,49.147982,-122.871001
Break and Enter - Business,7400 KING GEORGE BLVD,Jan,2019,19-8760,49.137628,-122.84526399999999
Break and Enter - Business,15300 67TH AVE,Jan,2019,19-10370,49.124235999999996,-122.797646
Break and Enter - Business,8300 124TH ST,Jan,2019,19-11078,49.153738,-122.87879199999999
Break and Enter - Business,12700 80TH AVE,Jan,2019,19-11447,49.147982,-122.871001
Break and Enter - Business,8300 124TH ST,Jan,2019,19-11620,49.153738,-122.87879199999999
Break and Enter - Business,15000 64TH AVE,Jan,2019,19-13996,49.119269,-122.80788600000001
Break and Enter - Business,8000 KING GEORGE BLVD,Jan,2019,19-14215,49.148527,-122.84530500000001
Break and Enter - Business,13100 80TH AVE,Jan,2019,19-14610,49.147940999999996,-122.859003
Break and Enter - Residence,14100 72ND AVE,Jan,2019,19-598,49.133257,-122.842801
Break and Enter - Residence,5900 135A ST,Jan,2019,19-2152,49.109938,-122.848148
Break and Enter - Residence,14000 59A AVE,Jan,2019,19-3032,49.191303000000005,-122.849144
Break and Enter - Residence,7100 151ST ST,Jan,2019,19-3939,49.131944,-122.803626
Break and Enter - Residence,14200 64TH AVE,Jan,2019,19-4115,49.120484000000005,-122.828544
Break and Enter - Residence,6200 KING GEORGE BLVD,Jan,2019,19-4666,49.115147,-122.844632
Break and Enter - Residence,13000 64TH AVE,Jan,2019,19-8995,49.118887,-122.862897
Break and Enter - Residence,6200 129TH ST,Jan,2019,19-9664,49.115629999999996,-122.864796
Break and Enter - Residence,7900 REDTAIL PL,Jan,2019,19-10214,49.146637,-122.82459899999999
Break and Enter - Residence,5800 129TH ST,Jan,2019,19-11205,49.109266,-122.865192
Break and Enter - Residence,13100 58A AVE,Jan,2019,19-11613,49.191303000000005,-122.849144
Break and Enter - Residence,14300 78TH AVE,Jan,2019,19-11846,49.144047,-122.826525
Break and Enter - Residence,5300 125A ST,Jan,2019,19-11888,49.098882,-122.874423
Break and Enter - Residence,14700 61A AVE,Jan,2019,19-12130,49.191303000000005,-122.849144
Break and Enter - Residence,6900 142ND ST,Jan,2019,19-12810,49.128032,-122.828571
Break and Enter - Residence,7800 KING GEORGE BLVD,Jan,2019,19-13877,49.144296000000004,-122.845329
Break and Enter - Residence,8700 143A ST,Jan,2019,19-15951,49.160885,-122.82459899999999
Break and Enter - Residence,12800 65TH AVE,Jan,2019,19-7186,49.120621,-122.86698100000001
Break and Enter - Residence,14100 61ST AVE,Jan,2019,19-6993,49.113537,-122.831441
Break and Enter - Business,17600 66A AVE,Jan,2019,19-487,49.002261,-122.73571899999999
Break and Enter - Business,18500 96TH AVE,Jan,2019,19-593,49.176811,-122.710245
Break and Enter - Business,17700 56A AVE,Jan,2019,19-760,49.002324,-122.730526
Break and Enter - Business,18700 96TH AVE,Jan,2019,19-1880,49.176790000000004,-122.704517
Break and Enter - Business,19500 LANGLEY BPS,Jan,2019,19-2639,49.109887,-122.67979
Break and Enter - Business,5500 192ND ST,Jan,2019,19-3173,49.102751,-122.690828
Break and Enter - Business,5200 192ND ST,Jan,2019,19-5419,49.096381,-122.690133
Break and Enter - Business,19300 LANGLEY BPS,Jan,2019,19-7425,49.109887,-122.67979
Break and Enter - Business,19200 60TH AVE,Jan,2019,19-7455,49.112969,-122.691507
Break and Enter - Business,5600 176A ST,Jan,2019,19-8356,49.104794,-122.733337
Break and Enter - Business,18500 96TH AVE,Jan,2019,19-9904,49.176811,-122.710245
Break and Enter - Business,17700 64TH AVE,Jan,2019,19-10826,49.118521,-122.73306000000001
Break and Enter - Business,9500 192ND ST,Jan,2019,19-10827,49.175342,-122.69036000000001
Break and Enter - Business,5900 ENTERPRISE WAY,Jan,2019,19-11370,49.108114,-122.687697
Break and Enter - Business,18500 97TH AVE,Jan,2019,19-13116,49.178831,-122.70971100000001
Break and Enter - Business,18700 96TH AVE,Jan,2019,19-15162,49.176790000000004,-122.704517
Break and Enter - Business,17700 56TH AVE,Jan,2019,19-15526,49.104801,-122.732133
Break and Enter - Residence,18600 68TH AVE,Jan,2019,19-586,49.125862,-122.70768999999999
Break and Enter - Residence,6800 192A ST,Jan,2019,19-765,49.126539,-122.690568
Break and Enter - Residence,5600 187TH ST,Jan,2019,19-1106,49.104417,-122.70278799999998
Break and Enter - Residence,9000 HARVIE RD,Jan,2019,19-1313,49.165819,-122.695148
Break and Enter - Residence,6300 192ND ST,Jan,2019,19-2836,49.11722,-122.69072299999999
Break and Enter - Residence,18900 68TH AVE,Jan,2019,19-4798,49.127728000000005,-122.698198
Break and Enter - Residence,5900 177B ST,Jan,2019,19-5815,49.036657,-122.776517
Break and Enter - Residence,6100 180TH ST,Jan,2019,19-6148,49.112745000000004,-122.722333
Break and Enter - Residence,6400 184A ST,Jan,2019,19-6361,49.118041,-122.711047
Break and Enter - Residence,7900 192ND ST,Jan,2019,19-10131,49.146778000000005,-122.68970300000001
Break and Enter - Residence,18500 LAURENSEN PL,Jan,2019,19-10777,49.128596,-122.709332
Break and Enter - Residence,16300 64TH AVE,Jan,2019,19-10843,49.118427000000004,-122.774506
Break and Enter - Residence,19300 76TH AVE,Jan,2019,19-12065,49.140743,-122.68829
Break and Enter - Residence,7100 192ND ST,Jan,2019,19-13646,49.131603999999996,-122.689226
Break and Enter - Residence,18900 68TH AVE,Jan,2019,19-15373,49.127728000000005,-122.698198
Break and Enter - Business,2600 151ST ST,Jan,2019,19-1879,49.049402,-122.80424
Break and Enter - Business,19000 22ND AVE,Jan,2019,19-2311,49.041853,-122.696386
Break and Enter - Business,13900 16TH AVE,Jan,2019,19-11264,49.031636,-122.83684199999999
Break and Enter - Residence,15400 34A AVE,Jan,2019,19-1710,49.191303000000005,-122.849144
Break and Enter - Residence,15700 WILLS BROOK WAY,Jan,2019,19-3188,49.054945000000004,-122.787585
Break and Enter - Residence,15900 32ND AVE,Jan,2019,19-3595,49.059909999999995,-122.78319199999999
Break and Enter - Residence,15700 23B AVE,Jan,2019,19-3824,49.036657,-122.776517
Break and Enter - Residence,2300 174TH ST,Jan,2019,19-5179,49.044496,-122.74080500000001
Break and Enter - Residence,15000 28TH AVE,Jan,2019,19-5483,49.053407,-122.804639
Break and Enter - Residence,1400 126A ST,Jan,2019,19-6696,49.028651,-122.872294
Break and Enter - Residence,2700 NORTHCREST DR,Jan,2019,19-7372,49.051133,-122.82701899999999
Break and Enter - Residence,168TH ST / 16TH AVE,Jan,2019,19-9410,49.191303000000005,-122.849144
Break and Enter - Residence,2700 CRANLEY DR,Jan,2019,19-11088,49.051346,-122.792675
Break and Enter - Residence,13900 16TH AVE,Jan,2019,19-11094,49.031636,-122.83684199999999
Break and Enter - Residence,13900 16TH AVE,Jan,2019,19-11139,49.031636,-122.83684199999999
Break and Enter - Residence,3100 160TH ST,Jan,2019,19-12405,49.058409000000005,-122.778768
Break and Enter - Residence,2100 124TH ST,Jan,2019,19-13099,49.040905,-122.878215
Break and Enter - Residence,17500 28B AVE,Jan,2019,19-13271,49.036657,-122.776517
Break and Enter - Residence,2800 176TH ST,Jan,2019,19-13630,49.052583,-122.734851
Break and Enter - Residence,1600 AMBLE GREENE DR,Jan,2019,19-13878,49.03201,-122.85676299999999
Break and Enter - Residence,12600 19TH AVE,Jan,2019,19-14055,49.037563,-122.872786
Theft from Motor Vehicle,13900 91A AVE,Jan,2019,19-3640,49.191303000000005,-122.849144
Theft from Motor Vehicle,13400 KING GEORGE BLVD,Jan,2019,19-7452,49.202756,-122.851677
Theft from Motor Vehicle,12700 113B AVE,Jan,2019,19-13230,49.036657,-122.776517
Theft from Motor Vehicle,10400 UNIVERSITY DR,Jan,2019,19-1744,49.192025,-122.850452
Theft from Motor Vehicle,19000 94TH AVE,Jan,2019,19-7560,49.173204999999996,-122.69554
Theft from Motor Vehicle,6300 190TH ST,Jan,2019,19-9976,49.116988,-122.696203
Shoplifting,108TH AVE / CITY PKWY,Jan,2019,19-4728,49.19891,-122.848804
Theft of Motor Vehicle,105A AVE / UNIVERSITY DR,Jan,2019,19-3063,49.191303000000005,-122.849144
Theft of Motor Vehicle,10100 KING GEORGE BLVD,Jan,2019,19-5347,49.186183,-122.84510700000001
Theft of Motor Vehicle,13800 FRASER HWY,Jan,2019,19-7863,49.191303000000005,-122.849144
Theft of Motor Vehicle,13700 92ND AVE,Jan,2019,19-10958,49.169913,-122.84316299999999
Theft of Motor Vehicle,122ND ST / 104TH AVE,Jan,2019,19-11427,49.192095,-122.883981
Theft of Motor Vehicle,9900 124A ST,Jan,2019,19-11435,49.191303000000005,-122.849144
Theft of Motor Vehicle,12300 100A AVE,Jan,2019,19-11961,49.191303000000005,-122.849144
Theft of Motor Vehicle,13700 96TH AVE,Jan,2019,19-13753,49.176868,-122.843849
Theft of Motor Vehicle,13500 105TH AVE,Jan,2019,19-14127,49.194340000000004,-122.847774
Theft of Motor Vehicle,12100 103A AVE,Jan,2019,19-15247,49.191303000000005,-122.849144
Theft of Motor Vehicle,11900 OLD YALE RD,Jan,2019,19-7693,49.203559000000006,-122.891703
Theft of Motor Vehicle,10200 124A ST,Jan,2019,19-9421,49.188293,-122.876636
Theft of Motor Vehicle,13600 BENTLEY RD,Jan,2019,19-15073,49.200745,-122.845974
Theft of Motor Vehicle,12800 92A AVE,Jan,2019,19-583,49.191303000000005,-122.849144
Theft of Motor Vehicle,105TH AVE / KING GEORGE BLVD,Jan,2019,19-846,49.194446,-122.84521399999998
Theft of Motor Vehicle,13200 89A AVE,Jan,2019,19-1076,49.191303000000005,-122.849144
Theft of Motor Vehicle,133A ST / 102A AVE,Jan,2019,19-1342,49.191303000000005,-122.849144
Theft of Motor Vehicle,13700 92ND AVE,Jan,2019,19-1631,49.169913,-122.84316299999999
Theft of Motor Vehicle,10200 133RD ST,Jan,2019,19-1640,49.187884000000004,-122.85411200000001
Theft of Motor Vehicle,12000 100TH AVE,Jan,2019,19-2757,49.184225,-122.88986000000001
Theft of Motor Vehicle,13300 BLOCK 100A AVE,Jan,2019,19-3204,49.191303000000005,-122.849144
Theft of Motor Vehicle,10500 127TH ST,Jan,2019,19-3344,49.193583000000004,-122.870594
Theft of Motor Vehicle,13300 105A AVE,Jan,2019,19-4037,49.191303000000005,-122.849144
Theft of Motor Vehicle,9300 MONKLAND PL,Jan,2019,19-4121,49.171749,-122.83570900000001
Theft of Motor Vehicle,12500 96A AVE,Jan,2019,19-6784,49.191303000000005,-122.849144
Theft of Motor Vehicle,10900 132ND ST,Jan,2019,19-6804,49.200776,-122.856206
Theft of Motor Vehicle,10600 139TH ST,Jan,2019,19-6826,49.195192999999996,-122.836699
Theft of Motor Vehicle,13400 113TH AVE,Jan,2019,19-7354,49.207955,-122.850631
Theft of Motor Vehicle,10100 MARY DR,Jan,2019,19-7374,49.18807,-122.87410700000001
Theft of Motor Vehicle,12700 112A AVE,Jan,2019,19-7398,49.191303000000005,-122.849144
Theft of Motor Vehicle,12400 PARK DR,Jan,2019,19-8341,49.205568,-122.839178
Theft of Motor Vehicle,OLD YALE RD / 132ND ST,Jan,2019,19-8355,49.187692,-122.85647800000001
Theft of Motor Vehicle,129TH ST / 104TH AVE,Jan,2019,19-9986,49.191688,-122.865043
Theft of Motor Vehicle,10600 124TH ST,Jan,2019,19-10381,49.195269,-122.878272
Theft of Motor Vehicle,126TH ST / 92ND AVE,Jan,2019,19-10537,49.17001,-122.87363899999998
Theft of Motor Vehicle,9200 STUART CRES,Jan,2019,19-11087,49.170121,-122.857902
Theft of Motor Vehicle,13700 88TH AVE,Jan,2019,19-11405,49.162167,-122.842413
Theft of Motor Vehicle,12600 114TH AVE,Jan,2019,19-11455,49.209693,-122.87326100000001
Theft of Motor Vehicle,9400 128TH ST,Jan,2019,19-12478,49.173711,-122.867749
Theft of Motor Vehicle,137A ST / 100TH AVE,Jan,2019,19-13652,49.191303000000005,-122.849144
Theft of Motor Vehicle,9300 127TH ST,Jan,2019,19-13653,49.17176,-122.869455
Theft of Motor Vehicle,13800 LAUREL DR,Jan,2019,19-13673,49.177807,-122.83566699999999
Theft of Motor Vehicle,96TH AVE / 134A ST,Jan,2019,19-13701,49.177058,-122.84991299999999
Theft of Motor Vehicle,10600 WHALLEY BLVD,Jan,2019,19-14100,49.195248,-122.84215800000001
Theft of Motor Vehicle,10700 139TH ST,Jan,2019,19-15624,49.196809,-122.836704
Theft of Motor Vehicle,13700 108TH AVE,Jan,2019,19-15900,49.198685,-122.84291200000001
Theft of Motor Vehicle,13700 BENTLEY RD,Jan,2019,19-3169,49.203121,-122.842026
Theft of Motor Vehicle,12600 98TH AVE,Jan,2019,19-5770,49.180690000000006,-122.87364
Theft of Motor Vehicle,12600 96A AVE,Jan,2019,19-6762,49.191303000000005,-122.849144
Theft of Motor Vehicle,13000 110TH AVE,Jan,2019,19-8939,49.202639000000005,-122.862248
Theft of Motor Vehicle,10100 KING GEORGE BLVD,Jan,2019,19-12597,49.186183,-122.84510700000001
Theft of Motor Vehicle,9600 123RD ST,Jan,2019,19-13583,49.177609999999994,-122.88166399999999
Theft of Motor Vehicle,13100 115TH AVE,Jan,2019,19-15277,49.212533,-122.85927
Theft of Motor Vehicle,126TH ST / 104TH AVE,Jan,2019,19-12853,49.191303000000005,-122.849144
Theft of Motor Vehicle,100TH AVE / 148TH ST,Jan,2019,19-416,49.182635999999995,-122.81076499999999
Theft of Motor Vehicle,8100 152ND ST,Jan,2019,19-834,49.150158000000005,-122.80085600000001
Theft of Motor Vehicle,10700 141A ST,Jan,2019,19-2148,49.19709,-122.829698
Theft of Motor Vehicle,10600 141A ST,Jan,2019,19-2662,49.195352,-122.829705
Theft of Motor Vehicle,10400 144TH ST,Jan,2019,19-2674,49.191059,-122.822869
Theft of Motor Vehicle,FRASER HWY / 160TH ST,Jan,2019,19-3984,49.191303000000005,-122.849144
Theft of Motor Vehicle,16700 80TH AVE,Jan,2019,19-5168,49.14796,-122.75941100000001
Theft of Motor Vehicle,14200 MELROSE DR,Jan,2019,19-7380,49.206333,-122.82883799999999
Theft of Motor Vehicle,14000 102ND AVE,Jan,2019,19-7855,49.188842,-122.833206
Theft of Motor Vehicle,15800 104TH AVE,Jan,2019,19-11947,49.191363,-122.78338000000001
Theft of Motor Vehicle,9600 148TH ST,Jan,2019,19-13682,49.177176,-122.81175400000001
Theft of Motor Vehicle,15800 92A AVE,Jan,2019,19-2690,49.191303000000005,-122.849144
Theft of Motor Vehicle,9400 158A ST,Jan,2019,19-3508,49.173607000000004,-122.78256299999998
Theft of Motor Vehicle,15700 97TH AVE,Jan,2019,19-9935,49.179569,-122.78681200000001
Theft of Motor Vehicle,11400 139TH ST,Jan,2019,19-665,49.209921,-122.836698
Theft of Motor Vehicle,15000 84TH AVE,Jan,2019,19-1830,49.155388,-122.806652
Theft of Motor Vehicle,10000 150TH ST,Jan,2019,19-2468,49.191303000000005,-122.849144
Theft of Motor Vehicle,8300 164TH ST,Jan,2019,19-2751,49.153551,-122.767381
Theft of Motor Vehicle,15100 108TH AVE,Jan,2019,19-4173,49.198577,-122.80278500000001
Theft of Motor Vehicle,14500 CHARTWELL DR,Jan,2019,19-5313,49.161815000000004,-122.82049199999999
Theft of Motor Vehicle,9800 149TH ST,Jan,2019,19-6896,49.181088,-122.80749499999999
Theft of Motor Vehicle,16200 BLOCK 88TH AVE,Jan,2019,19-7526,49.191303000000005,-122.849144
Theft of Motor Vehicle,9400 160TH ST,Jan,2019,19-7845,49.173598999999996,-122.77730700000001
Theft of Motor Vehicle,14500 105A AVE,Jan,2019,19-8601,49.191303000000005,-122.849144
Theft of Motor Vehicle,8800 150A ST,Jan,2019,19-8900,49.163032,-122.806721
Theft of Motor Vehicle,9900 151ST ST,Jan,2019,19-9461,49.191303000000005,-122.849144
Theft of Motor Vehicle,15200 TRANS CANADA HWY,Jan,2019,19-9920,49.191303000000005,-122.849144
Theft of Motor Vehicle,16000 98B AVE,Jan,2019,19-10841,49.036657,-122.776517
Theft of Motor Vehicle,15800 100TH AVE,Jan,2019,19-11141,49.184178,-122.784355
Theft of Motor Vehicle,8200 154B ST,Jan,2019,19-11441,49.036657,-122.776517
Theft of Motor Vehicle,8100 156A ST,Jan,2019,19-11615,49.14993,-122.788582
Theft of Motor Vehicle,10500 150TH ST,Jan,2019,19-11993,49.193449,-122.806087
Theft of Motor Vehicle,15800 89TH AVE,Jan,2019,19-13093,49.165475,-122.78479899999999
Theft of Motor Vehicle,16600 79B AVE,Jan,2019,19-13780,49.036657,-122.776517
Theft of Motor Vehicle,15900 83RD AVE,Jan,2019,19-15115,49.153475,-122.780258
Theft of Motor Vehicle,8600 156TH ST,Jan,2019,19-15549,49.159151,-122.789975
Theft of Motor Vehicle,16200 92ND AVE,Jan,2019,19-15728,49.169964,-122.772847
Theft of Motor Vehicle,14800 107A AVE,Jan,2019,19-16035,49.191303000000005,-122.849144
Theft of Motor Vehicle,10100 157A ST,Jan,2019,19-1086,49.186401000000004,-122.785343
Theft of Motor Vehicle,16700 80TH AVE,Jan,2019,19-3256,49.14796,-122.75941100000001
Theft of Motor Vehicle,14200 110TH AVE,Jan,2019,19-7197,49.203317999999996,-122.82961599999999
Theft of Motor Vehicle,14200 110TH AVE,Jan,2019,19-10378,49.203317999999996,-122.82961599999999
Theft of Motor Vehicle,86A AVE / 159TH ST,Jan,2019,19-4131,49.191303000000005,-122.849144
Theft of Motor Vehicle,13500 80TH AVE,Jan,2019,19-2153,49.148941,-122.848702
Theft of Motor Vehicle,13400 63RD AVE,Jan,2019,19-2220,49.11711,-122.85065800000001
Theft of Motor Vehicle,125TH ST / 75A AVE,Jan,2019,19-4871,49.140116,-122.876227
Theft of Motor Vehicle,13000 80TH AVE,Jan,2019,19-7390,49.147892,-122.862707
